"Reg","Pub1","Pub2","Pub3","Pub4","Taille"
1,12.35,21.86,14.43,21.44,1
1,20.52,42.17,22.26,31.21,2
1,30.85,49.61,23.99,40.09,3
1,39.35,63.65,36.98,55.68,4
1,48.87,73.75,42.13,65.81,5
1,58.01,85.95,54.19,76.61,6
2,28.26,13.76,14.44,30.78,1
2,37.67,24.59,29.63,45.75,2
2,44.70,37.30,38.27,56.37,3
2,57.54,49.53,51.59,70.19,4
2,67.57,59.25,59.09,79.81,5
2,77.70,67.68,71.69,94.23,6
3,10.97,0.00,2.90,6.46,1
3,26.70,2.41,17.28,18.61,2
3,36.81,16.10,19.62,30.14,3
3,51.34,22.71,29.53,39.12,4
3,62.69,30.19,38.57,51.15,5
3,72.68,41.64,48.20,59.11,6
4,0.00,11.90,4.48,27.62,1
4,4.52,27.75,18.01,42.63,2
4,13.71,42.22,21.96,59.20,3
4,27.91,56.06,34.42,74.92,4
4,38.57,66.16,40.14,92.37,5
4,42.71,78.71,57.06,98.02,6
5,13.11,8.00,10.90,14.36,1
5,16.89,18.27,28.22,26.37,2
5,27.99,27.72,38.62,34.15,3
5,36.35,42.04,48.31,54.02,4
5,48.85,48.50,60.23,59.90,5
5,61.97,59.92,71.39,74.79,6
